Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"MCGAW, Mr Erroll Victor",1882,1912,30,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/eroll-mcgaw.html
"OSMAN, Mr Frank",1885,1938,27,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,2,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frank-osman.html
"BLISS, Mrs Emma",1866,1959,45,Female,Victualling Crew,,,,Southampton,Stewardess,SAVED,15,,Swiss,https://www.encyclopedia-titanica.org/titanic-survivor/emma-bliss.html
"MCCARRON, Mr David John",1878,1918,33,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/david-mccarron.html
"CASSWILL, Mr Charles",1877,1912,34,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-casswill.html
"BAILEY, Mr George",1868,1912,44,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,161,English,https://www.encyclopedia-titanica.org/titanic-victim/george-francis-bailey.html
"ROGERS, Mr Edward James William",1880,1912,31,Male,Victualling Crew,,,,Southampton,Assistant Storekeeper,LOST,,282,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-james-william-rogers.html
"BALL, Mr Percy",1894,1933,18,Male,Victualling Crew,,,,Southampton,Plate Steward,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/percy-ball.html
"COOK, Mr Gilbert William",1880,1912,32,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/gilbert-william-cook.html
"ARMSTRONG, Mr James",1881,,31,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-armstrong.html
"BARNES, Mr Charles",1883,1912,29,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-barnes.html
"SCOTT, Mr Frederick William",1884,1915,28,Male,Engineering Crew,,,,Southampton,Greaser,SAVED,4,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-william-scott.html
"SIMMS, Mr William",1874,,38,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-simms.html
"HARKIN, Mr Samuel",1869,1931,43,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/samuel-harkin.html
"GILES, Mr John Robert",1879,1912,32,Male,Victualling Crew,,,,Southampton,2nd Baker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-robert-giles.html
"WYNN, Mr William",1870,1945,41,Male,Deck Crew,,,,Belfast,Quartermaster,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-wynn.html
"MOYES, Mr William Young",1887,1912,24,Male,Engineering Crew,,,,Belfast,Senior 6th. Engineer,LOST,,,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/william-young-moyes.html
"MARCH, Mr John Starr",1861,1912,50,Male,Victualling Crew Postal Clerk,,,,Southampton,Postal Clerk / Postman,LOST,,225,American,https://www.encyclopedia-titanica.org/titanic-victim/john-starr-march.html
"HOUSE, Mr William Charles",1866,1912,45,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-house.html
"SLIGHT, Mr William Henry James",1875,1912,36,Male,Victualling Crew,,,,Belfast,Larder Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-slight.html
"NUTBEAN, Mr William",1881,1947,30,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-nutbean.html
"MAWHINNEY, Mr John",1855,1918,57,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-mawhinney.html
"BEATTIE, Mr Francis",1873,1943,39,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/francis-beattie.html
"MARTIN, Miss Mabel Elvina",1892,1960,20,Female,Restaurant Staff,,,,Southampton,Cashier,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/mabel-edwina-martin.html
"BARRETT, Mr Frederick William",1879,1912,33,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-william-barrett.html
"MOORES, Mr Richard Henry",1868,1912,44,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/richard-henry-moores.html
"MCGEE, Mr Patrick",1879,,33,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/patrick-mcgee.html
"TAYLOR, Mr John Henry",1862,1912,49,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-taylor.html
"CHITTY, Mr Archibald George",1883,1912,28,Male,Victualling Crew,,,,Southampton,Third Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/archibald-george-chitty.html
"WALLS, Mr James",1879,1943,32,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-walls.html
"ROBERTS, Mr Robert George",1877,1912,35,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-george-roberts.html
"HART, Mr John Edward",1881,1954,31,Male,Victualling Crew,,,,Southampton,Steward,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/john-edward-hart.html
"CARDWELL, Mr John",1879,1963,32,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-cardwell.html
"DYMOND, Mr Frank",1876,1947,36,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frank-dymond.html
"PEDRINI, Sig. Alessandro",1890,1912,21,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,104,Swiss,https://www.encyclopedia-titanica.org/titanic-victim/alessandro-pedrini.html
"HARRIS, Mr Clifford Henry",1895,1912,17,Male,Victualling Crew,,,,Southampton,Bell Boy,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/clifford-henry-harris.html
"ROSS, Mr Horace Leopold",1874,1940,38,Male,Victualling Crew,,,,Southampton,Scullion,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/horace-leopold-ross.html
"PRICHARD, Mrs Alice Maud",1875,1948,36,Female,Victualling Crew,,,,Southampton,Stewardess,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/alice-prichard.html
"BASILICO, Sig. Giovanni",1885,1912,27,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/giovanni-basilico.html
"COCHRANE, Mr Robert",1867,,44,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/robert-cochrane.html
"FEI, Sig. Carlo",1893,1912,19,Male,Restaurant Staff,,,,Southampton,Scullion,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/carlo-fey.html
"BRICE, Mr Walter Thomas",1869,1928,42,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/walter-brice.html
"SIMMONS, Mr William Simon Catcott",1875,1912,37,Male,Victualling Crew,,,,Southampton,Passage Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-simmons.html
"HODGE, Mr Charley",1883,1912,29,Male,Engineering Crew,,,,Belfast,Senior Assistant 3rd. Engineer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-hodge.html
"MCCARTY, Mr Frederick James",1873,1912,38,Male,Victualling Crew,,,,Southampton,Bedroom Steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-mccarthy.html
"MACKIE, Mr George William",1877,1912,34,Male,Victualling Crew,,,,Southampton,2nd Class Bedroom Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-william-mackie.html
"MCGARVEY, Mr Edward Joseph",1878,1912,34,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-joseph-mcgarvey.html
"HAINES, Mr Albert",1880,1933,31,Male,Deck Crew,,,,Belfast,Boatswain Mate,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/albert-haines.html
"JEFFERY, Mr William Alfred",1884,1912,28,Male,Restaurant Staff,,,,Southampton,A la carte restaurant controller,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-alfred-jeffery.html
"HOLLAND, Mr Thomas",1883,1912,28,Male,Victualling Crew,,,,Belfast,Reception Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-holland.html
"HUTCHINSON, Mr John Hall",1884,1912,28,Male,Deck Crew,,,,Belfast,Carpenter / Joiner,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-hall-hutchinson.html
"ANDREWS, Mr Charles Edward",1893,1961,19,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/charles-edward-andrews.html
"MAYO, Mr William Peter",1884,1912,27,Male,Engineering Crew,,,,Southampton,Leading Fireman,LOST,,177,English,https://www.encyclopedia-titanica.org/titanic-victim/william-peter-mayo.html
"SMITH, Mr Ernest George",1885,1912,27,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-george-smith.html
"FLACK, Mr John",1883,1961,28,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-flack.html
"WAUGH, Mr James",1885,,26,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-waugh.html
"CARTWRIGHT, Mr James Edward",1879,1912,33,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,320,English,https://www.encyclopedia-titanica.org/titanic-victim/james-edward-cartwright.html
"DOUGLAS, Mr William",1879,,32,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-douglas.html
"OSBORNE, Mr William Edward",1879,1912,33,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-edward-osborne.html
"HENDY, Mr Edward Martin",1872,1912,39,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-martin-hendy.html
"NOLAN, Mr Michael Bernard",1872,1941,40,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/michael-nolan.html
"WHITFORD, Mr Alfred Henry",1872,1912,39,Male,Victualling Crew,,,,Southampton,"Saloon Steward, 2nd Class",LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/alfred-henry-whitford.html
"FLYNN, Mr Michael",1879,1942,32,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/michael-flinn.html
"MCENTEE, Mr Charles Edward",1872,1940,40,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/charles-mcentee.html
"JACKOPSON, Mr John Henry",1881,1912,30,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-jacobson.html
"CRAFTER, Mr Frederick Horace",1891,1960,20,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-crafter.html
"JUPE, Mr Boylett Herbert",1881,1912,30,Male,Engineering Crew,,,,Southampton,Electrician,LOST,,73,English,https://www.encyclopedia-titanica.org/titanic-victim/herbert-jupe.html
"OLIVE, Mr Ernest Roskelly",1885,1912,27,Male,Victualling Crew,,,,Southampton,Clothes Presser Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-roskelly-olive.html
"BENVILLE, Mr Edward",1864,1912,47,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/e-benville.html
"GILARDINO, Sig. Vincenzo Pio",1881,1912,31,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/vincenzo-pio-gilardino.html
"GORDON, Mr John",1882,1912,30,Male,Engineering Crew Substitute Crew,,,,Southampton,Trimmer,LOST,,,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/j-gordon.html
"MORGAN, Mr Patrick",1885,,26,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/patrick-morgan.html
"PHILLIMORE, Mr Harold Charles William",1888,1967,23,Male,Victualling Crew,,,,Belfast,Saloon Steward (2nd class),SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/harold-charles-william-phillimore.html
"COLEMAN, Mr Albert Edward",1883,1912,28,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/albert-edward-coleman.html
"INSTANCE, Mr Thomas",1881,1912,31,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/t-instance.html
"COMBES, Mr George",1877,1916,34,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/george-combes.html
"CHISNALL, Mr George Alexander",1875,1912,36,Male,Engineering Crew,,,,Belfast,Boilermaker,LOST,,111,English,https://www.encyclopedia-titanica.org/titanic-victim/george-alexander-chisnall.html
"EVANS, Mr William Thomas",1878,1912,33,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,31,English,https://www.encyclopedia-titanica.org/titanic-victim/william-evans.html
"BAGLEY, Mr Edward Henry",1879,1912,33,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-ernest-bagley.html
"PERREN, Mr William Charles",1864,1912,47,Male,Victualling Crew,,,,Southampton,Boots Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-charles-perren.html
"SLOCOMBE, Mrs Maude Louise",1881,1967,30,Female,Victualling Crew,,,,Southampton,Turkish Bath Stewardess,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/maude-slocombe.html
"WOOD, Mr James Thomas",1863,1912,49,Male,Victualling Crew,,,,Southampton,"Assistant Saloon Steward, 2nd Class",LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-thomas-wood.html
"PETERS, Mr William Chapman",1886,1950,26,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-chapman-peters.html
"ROWE, Mr Edgar Maurice",1880,1912,31,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edgar-maurice-rowe.html
"PHILLIPS, Mr William",1886,,26,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-phillips.html
"FRYER, Mr Albert Ernest",1882,1944,29,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/albert-ernest-fryer.html
"WITTS, Mr William Francis",1877,1912,35,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-witts.html
"GOSLING, Mr Frank Henry",1887,1912,25,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/s-gosling.html
"NOON, Mr John Thomas",1870,1912,42,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-noon.html
"KERNEY, Mr William",1873,,39,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-kerney.html
"HOGUE, Mr E.",1890,1912,22,Male,Victualling Crew,,,,Southampton,Plate Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/e-hogue.html
"RIGOZZI, Mr Abele",1890,1912,22,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,115,Swiss,https://www.encyclopedia-titanica.org/titanic-victim/abele-rigozzi.html
"ANDERSON, Mr John",1870,,42,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/john-anderson.html
"BAKER, Mr John",1880,1933,32,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-baker-barker.html
"CUNNINGHAM, Mr Bernard",1877,1912,35,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/b-cunningham.html
"BARKER, Mr George",1866,,46,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/able-seaman-george-barker.html
"BESSANT, Mr Edward",1880,1912,31,Male,Victualling Crew,,,,Southampton,1st class baggage steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-bessant.html
"CAMPBELL, Mr Donald Samuel",1884,1912,28,Male,Victualling Crew,,,,Southampton,3rd Class Clerk,LOST,,,Australian,https://www.encyclopedia-titanica.org/titanic-victim/donald-campbell.html
"HARVEY, Mr John",1886,,26,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-harvey.html
"CHITTY, Mr George Henry",1862,1912,50,Male,Victualling Crew,,,,Southampton,Baker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-henry-chitty.html
"MCGREEVY, Mr Richard",1886,1913,25,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/richard-mcgreevy.html
"THRELFALL, Mr Thomas",1867,1934,44,Male,Engineering Crew,,,,Southampton,Leading Fireman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/thomas-threlfall.html
"MCATEER, Mr John",1875,1948,37,Male,Engineering Crew,,,,Belfast,Greaser,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-mcateer.html
"HALL, Mr Frank Alfred James",1871,1912,40,Male,Victualling Crew,,,,Southampton,Scullion,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/f-hall.html
"EASTMAN, Mr Charles",1868,1912,44,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-eastman.html
"SMITH, Mr John Richard Jago",1877,1912,35,Male,Victualling Crew Postal Clerk,,,,Southampton,Postal Clerk / Postman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-richard-jago-smith.html
"MIDDLETON, Mr Alfred Pirrie",1884,1912,27,Male,Engineering Crew,,,,Belfast,Assistant Electrician,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/alfred-pirrie-middleton.html
"DINENAGE, Mr James Richard",1863,1912,49,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-richard-dinenage.html
"KEENAN, Mr William",1875,,36,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-keenan.html
"HADLEY, Mr John",1862,,50,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-hadley.html
"BULLEY, Mr Henry Ashburnham",1890,1912,21,Male,Victualling Crew,,,,Southampton,Boots Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-ashburnham-bulley.html
